time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:44:12,42.66975,-71.426735,1080.47,30.56,1,29.783077089725901639344262295081967,59
06/03/2010 10:44:13,42.669735,-71.426735,1081.19,30.23,7,29.783077089725901639344262295081967,58
06/03/2010 10:44:14,42.66972,-71.426735,1080.47,30.56,2,29.783077089725901639344262295081967,58
06/03/2010 10:44:15,42.66972,-71.426735,1079.75,30.88,6,29.783077089725901639344262295081967,58
06/03/2010 10:44:16,42.6697,-71.42672,1079.75,30.56,3,29.783077089725901639344262295081967,58
06/03/2010 10:44:17,42.669685,-71.42672,1079.75,30.56,9,29.697566216779100204498977505112474,58
06/03/2010 10:44:33,42.66967,-71.42675,1076.13,31.52,4,29.868453860791088295687885010266940,59
06/03/2010 10:44:34,42.66967,-71.42675,1079.03,31.52,3,29.868453860791088295687885010266940,60
06/03/2010 10:44:35,42.66967,-71.42675,1082.62,31.52,4,29.953696698649218106995884773662551,60
06/03/2010 10:44:36,42.66967,-71.42675,1081.91,31.85,2,30.038805773365979381443298969072165,60
06/03/2010 10:44:37,42.66967,-71.42675,1081.91,31.85,2,30.038805773365979381443298969072165,60
06/03/2010 10:44:39,42.669685,-71.42675,1081.91,31.52,1,30.038805773365979381443298969072165,60
06/03/2010 10:44:40,42.6697,-71.426765,1081.19,31.85,1,30.123781256412561983471074380165289,60
06/03/2010 10:44:41,42.6697,-71.426765,1081.91,31.85,3,30.123781256412561983471074380165289,60
06/03/2010 10:44:42,42.66972,-71.426765,1081.91,32.17,7,30.123781256412561983471074380165289,60
06/03/2010 10:44:43,42.66972,-71.426765,1081.91,32.17,7,30.208623320680207039337474120082816,60
06/03/2010 10:44:44,42.669735,-71.426765,1081.91,32.17,2,30.293332140494937759336099585062241,60
06/03/2010 10:44:45,42.669735,-71.426765,1081.91,32.49,3,30.293332140494937759336099585062241,60
06/03/2010 10:44:46,42.66975,-71.426765,1081.91,32.17,9,30.123781256412561983471074380165289,60
06/03/2010 10:44:47,42.669735,-71.42678,1078.31,32.17,7,30.123781256412561983471074380165289,59
06/03/2010 10:44:48,42.669735,-71.426796,1081.19,32.17,7,30.123781256412561983471074380165289,59
06/03/2010 10:44:49,42.66972,-71.426796,1080.47,32.49,5,30.038805773365979381443298969072165,59
06/03/2010 10:44:50,42.66972,-71.426796,1081.19,32.17,2,30.038805773365979381443298969072165,58
06/03/2010 10:44:52,42.6697,-71.42681,1080.47,32.17,3,29.953696698649218106995884773662551,58
06/03/2010 10:44:53,42.6697,-71.42681,1081.19,31.85,4,30.038805773365979381443298969072165,58
06/03/2010 10:44:54,42.669685,-71.42681,1080.47,32.17,3,30.038805773365979381443298969072165,57
06/03/2010 10:44:55,42.669685,-71.426796,1081.91,32.49,1,30.038805773365979381443298969072165,57
06/03/2010 10:44:56,42.66967,-71.426796,1082.62,32.49,2,30.038805773365979381443298969072165,57
06/03/2010 10:44:57,42.66967,-71.42678,1082.62,32.17,2,30.123781256412561983471074380165289,57
06/03/2010 10:44:58,42.66967,-71.426765,1081.91,32.17,3,30.123781256412561983471074380165289,56
06/03/2010 10:44:59,42.66967,-71.426765,1081.91,32.49,1,30.123781256412561983471074380165289,56
06/03/2010 10:45:19,42.66972,-71.426865,1081.91,32.17,5,29.953696698649218106995884773662551,53
06/03/2010 10:45:20,42.66972,-71.426865,1081.19,32.17,5,29.953696698649218106995884773662551,53
06/03/2010 10:45:21,42.66972,-71.426865,1081.91,32.17,11,29.953696698649218106995884773662551,52
06/03/2010 10:45:22,42.66972,-71.426865,1081.19,32.49,1,29.868453860791088295687885010266940,52
06/03/2010 10:45:23,42.66972,-71.426865,1081.91,31.85,1,29.868453860791088295687885010266940,52
06/03/2010 10:45:24,42.6697,-71.426865,1081.91,32.17,2,29.953696698649218106995884773662551,52
06/03/2010 10:45:25,42.6697,-71.426865,1081.19,31.85,1,29.953696698649218106995884773662551,52
06/03/2010 10:45:26,42.669685,-71.426865,1080.47,32.17,2,29.953696698649218106995884773662551,52
06/03/2010 10:45:27,42.66967,-71.42688,1080.47,32.49,4,29.868453860791088295687885010266940,52
06/03/2010 10:45:28,42.669655,-71.42688,1081.19,31.85,1,29.868453860791088295687885010266940,52
06/03/2010 10:45:29,42.669636,-71.42688,1081.19,32.17,2,29.868453860791088295687885010266940,52
06/03/2010 10:45:30,42.669636,-71.42688,1075.40,32.17,4,29.953696698649218106995884773662551,52
06/03/2010 10:45:32,42.669636,-71.426895,1081.19,32.17,8,29.953696698649218106995884773662551,52
06/03/2010 10:45:33,42.669636,-71.426895,1081.19,32.49,3,29.953696698649218106995884773662551,52
06/03/2010 10:45:34,42.669636,-71.426895,1081.19,32.81,2,30.038805773365979381443298969072165,52
06/03/2010 10:45:35,42.669636,-71.426895,1081.91,32.49,2,30.038805773365979381443298969072165,52
06/03/2010 10:45:36,42.669655,-71.42692,1081.91,32.49,2,30.123781256412561983471074380165289,52
06/03/2010 10:45:37,42.669655,-71.42692,1081.91,32.49,5,30.123781256412561983471074380165289,52
06/03/2010 10:45:38,42.66967,-71.42693,1081.19,33.13,2,30.123781256412561983471074380165289,52
06/03/2010 10:45:39,42.66967,-71.42693,1081.91,32.81,1,30.208623320680207039337474120082816,53
06/03/2010 10:45:40,42.669685,-71.426956,1081.91,32.81,1,30.293332140494937759336099585062241,53
06/03/2010 10:45:41,42.6697,-71.42697,1081.91,32.81,0,30.293332140494937759336099585062241,53
06/03/2010 10:45:42,42.6697,-71.42697,1081.19,32.81,1,30.377907891632474012474012474012474,53
06/03/2010 10:45:54,42.66967,-71.42693,1081.91,33.78,2,30.798796872709915966386554621848739,54
06/03/2010 10:45:55,42.66967,-71.42693,1081.91,33.78,2,30.798796872709915966386554621848739,54
06/03/2010 10:45:56,42.669685,-71.42693,1081.91,33.78,1,30.798796872709915966386554621848739,54
06/03/2010 10:45:57,42.669685,-71.42692,1081.91,33.46,2,30.714883776515429769392033542976939,54
06/03/2010 10:45:59,42.669685,-71.42692,1081.91,33.78,5,30.714883776515429769392033542976939,54
06/03/2010 10:46:00,42.669685,-71.426895,1082.62,33.78,5,30.630838512803012552301255230125523,54
06/03/2010 10:46:28,42.6698,-71.42699,1077.58,33.13,28,30.123781256412561983471074380165289,52
06/03/2010 10:46:29,42.6698,-71.42699,1077.58,33.46,0,30.123781256412561983471074380165289,52
06/03/2010 10:46:30,42.6698,-71.42699,1077.58,33.46,23,30.123781256412561983471074380165289,52
06/03/2010 10:46:31,42.6698,-71.42699,1078.31,33.13,14,30.208623320680207039337474120082816,52
06/03/2010 10:46:32,42.6698,-71.42699,1076.86,33.13,23,30.123781256412561983471074380165289,52
06/03/2010 10:46:33,42.6698,-71.42699,1075.40,33.13,16,30.123781256412561983471074380165289,52
06/03/2010 10:46:34,42.6698,-71.42699,1071.72,33.13,13,30.038805773365979381443298969072165,52
